year,month,pdo,date
2004,10,-0.11,2004-10-01
2004,11,-0.63,2004-11-01
2004,12,-0.17,2004-12-01
2005,1,0.44,2005-01-01
2005,2,0.81,2005-02-01
2005,3,1.36,2005-03-01
2005,4,1.03,2005-04-01
2005,5,1.86,2005-05-01
2005,6,1.17,2005-06-01
2005,7,0.66,2005-07-01
2005,8,0.25,2005-08-01
2005,9,-0.46,2005-09-01
2005,10,-1.32,2005-10-01
2005,11,-1.5,2005-11-01
2005,12,0.2,2005-12-01
2006,1,1.03,2006-01-01
2006,2,0.66,2006-02-01
2006,3,0.05,2006-03-01
2006,4,0.4,2006-04-01
2006,5,0.48,2006-05-01
2006,6,1.04,2006-06-01
2006,7,0.35,2006-07-01
2006,8,-0.65,2006-08-01
2006,9,-0.94,2006-09-01
2006,10,-0.05,2006-10-01
2006,11,-0.22,2006-11-01
2006,12,0.14,2006-12-01
2007,1,0.01,2007-01-01
2007,2,0.04,2007-02-01
2007,3,-0.36,2007-03-01
2007,4,0.16,2007-04-01
2007,5,-0.1,2007-05-01
2007,6,0.09,2007-06-01
2007,7,0.78,2007-07-01
2007,8,0.5,2007-08-01
2007,9,-0.36,2007-09-01
2007,10,-1.45,2007-10-01
2007,11,-1.08,2007-11-01
2007,12,-0.58,2007-12-01
2008,1,-1.0,2008-01-01
2008,2,-0.77,2008-02-01
2008,3,-0.71,2008-03-01
2008,4,-1.52,2008-04-01
2008,5,-1.37,2008-05-01
2008,6,-1.34,2008-06-01
2008,7,-1.67,2008-07-01
2008,8,-1.7,2008-08-01
2008,9,-1.55,2008-09-01
2008,10,-1.76,2008-10-01
2008,11,-1.25,2008-11-01
2008,12,-0.87,2008-12-01
2009,1,-1.4,2009-01-01
2009,2,-1.55,2009-02-01
2009,3,-1.59,2009-03-01
2009,4,-1.65,2009-04-01
2009,5,-0.88,2009-05-01
2009,6,-0.31,2009-06-01
2009,7,-0.53,2009-07-01
2009,8,0.09,2009-08-01
2009,9,0.52,2009-09-01
2009,10,0.27,2009-10-01
2009,11,-0.4,2009-11-01
2009,12,0.08,2009-12-01
2010,1,0.83,2010-01-01
2010,2,0.82,2010-02-01
2010,3,0.44,2010-03-01
2010,4,0.78,2010-04-01
2010,5,0.62,2010-05-01
2010,6,-0.22,2010-06-01
2010,7,-1.05,2010-07-01
2010,8,-1.27,2010-08-01
2010,9,-1.61,2010-09-01
2010,10,-1.06,2010-10-01
2010,11,-0.82,2010-11-01
2010,12,-1.21,2010-12-01
2011,1,-0.92,2011-01-01
2011,2,-0.83,2011-02-01
2011,3,-0.69,2011-03-01
2011,4,-0.42,2011-04-01
2011,5,-0.37,2011-05-01
2011,6,-0.69,2011-06-01
2011,7,-1.86,2011-07-01
2011,8,-1.74,2011-08-01
2011,9,-1.79,2011-09-01
2011,10,-1.34,2011-10-01
2011,11,-2.33,2011-11-01
2011,12,-1.79,2011-12-01
2012,1,-1.38,2012-01-01
2012,2,-0.85,2012-02-01
2012,3,-1.05,2012-03-01
2012,4,-0.27,2012-04-01
2012,5,-1.26,2012-05-01
2012,6,-0.87,2012-06-01
2012,7,-1.52,2012-07-01
2012,8,-1.93,2012-08-01
2012,9,-2.21,2012-09-01
2012,10,-0.79,2012-10-01
2012,11,-0.59,2012-11-01
2012,12,-0.48,2012-12-01
2013,1,-0.13,2013-01-01
2013,2,-0.43,2013-02-01
2013,3,-0.63,2013-03-01
2013,4,-0.16,2013-04-01
2013,5,0.08,2013-05-01
2013,6,-0.78,2013-06-01
2013,7,-1.25,2013-07-01
2013,8,-1.04,2013-08-01
2013,9,-0.48,2013-09-01
2013,10,-0.87,2013-10-01
2013,11,-0.11,2013-11-01
2013,12,-0.41,2013-12-01
2014,1,0.3,2014-01-01
2014,2,0.38,2014-02-01
2014,3,0.97,2014-03-01
2014,4,1.13,2014-04-01
2014,5,1.8,2014-05-01
2014,6,0.82,2014-06-01
2014,7,0.7,2014-07-01
2014,8,0.67,2014-08-01
2014,9,1.08,2014-09-01
2014,10,1.49,2014-10-01
2014,11,1.72,2014-11-01
2014,12,2.51,2014-12-01
2015,1,2.45,2015-01-01
2015,2,2.3,2015-02-01
2015,3,2.0,2015-03-01
2015,4,1.44,2015-04-01
2015,5,1.2,2015-05-01
2015,6,1.54,2015-06-01
2015,7,1.84,2015-07-01
2015,8,1.56,2015-08-01
2015,9,1.94,2015-09-01
2015,10,1.47,2015-10-01
2015,11,0.86,2015-11-01
2015,12,1.01,2015-12-01
2016,1,1.53,2016-01-01
2016,2,1.75,2016-02-01
2016,3,2.4,2016-03-01
2016,4,2.62,2016-04-01
2016,5,2.35,2016-05-01
2016,6,2.03,2016-06-01
2016,7,1.25,2016-07-01
2016,8,0.52,2016-08-01
2016,9,0.45,2016-09-01
2016,10,0.56,2016-10-01
2016,11,1.88,2016-11-01
2016,12,1.17,2016-12-01
2017,1,0.77,2017-01-01
2017,2,0.7,2017-02-01
2017,3,0.74,2017-03-01
2017,4,1.12,2017-04-01
2017,5,0.88,2017-05-01
2017,6,0.79,2017-06-01
2017,7,0.1,2017-07-01
2017,8,0.09,2017-08-01
2017,9,0.32,2017-09-01
2017,10,0.05,2017-10-01
2017,11,0.15,2017-11-01
2017,12,0.5,2017-12-01
2018,1,0.7,2018-01-01
2018,2,0.37,2018-02-01
2018,3,-0.05,2018-03-01
